Rank,Name,RSSDID,Location,TotalAsset
115,CVB FINANCIAL CORP.                                                                                                     ,1029222,"ONTARIO, CA",16484544.0
116,BREMER FINANCIAL CORPORATION                                                                                            ,1020180,"SAINT PAUL, MN",16236135.0
117,MERCHANTS BANCORP                                                                                                       ,3530786,"CARMEL, IN",15874872.0
118,FIRST AMERICAN FINANCIAL CORPORATION                                                                                    ,1250101,"SANTA ANA, CA",15730853.0
119,"SPEND LIFE WISELY COMPANY, INC.                                                                                         ",1058398,"DURANT, OK",15658415.0
120,BANNER CORPORATION                                                                                                      ,2126977,"WALLA WALLA, WA",15584736.0
121,"NEXBANK CAPITAL, INC.                                                                                                   ",3823844,"DALLAS, TX",15392548.0
122,"COMMUNITY BANK SYSTEM, INC.                                                                                             ",1048867,"DEWITT, NY",15108050.0
123,"SERVISFIRST BANCSHARES, INC.                                                                                            ",3635319,"HOMEWOOD, AL",15072808.0
124,SEACOAST BANKING CORPORATION OF FLORIDA                                                                                 ,1085013,"STUART, FL",15041932.0
125,INTERNATIONAL BANCSHARES CORPORATION                                                                                    ,1104231,"LAREDO, TX",14854836.0
126,NORTHWEST BANCSHARES INC                                                                                                ,4122722,"COLUMBUS, OH",14388427.0
127,"PROVIDENT FINANCIAL SERVICES, INC.                                                                                      ",3133637,"JERSEY CITY, NJ",14029603.0
128,"SANDY SPRING BANCORP, INC.                                                                                              ",1248304,"OLNEY, MD",13994545.0
129,ENTERPRISE FINANCIAL SERVICES CORP                                                                                      ,2303910,"CLAYTON, MO",13871154.0
130,"DIME COMMUNITY BANCSHARES, INC.                                                                                         ",1416523,"HAUPPAUGE, NY",13797942.0
131,"STATE BANKSHARES, INC.                                                                                                  ",1417333,"FARGO, ND",13730244.0
132,OCEANFIRST FINANCIAL CORP.                                                                                              ,2609975,"TOMS RIVER, NJ",13545979.0
133,FB FINANCIAL CORPORATION                                                                                                ,1132104,"NASHVILLE, TN",12887395.0
134,FIRST FOUNDATION INC.                                                                                                   ,3842658,"DALLAS, TX",12857288.0
135,"FIRST FINANCIAL BANKSHARES, INC.                                                                                        ",1102312,"ABILENE, TX",12825437.0
136,"VERITEX HOLDINGS, INC.                                                                                                  ",4105266,"DALLAS, TX",12470368.0
137,"DISCOUNT BANCORP, INC.                                                                                                  ",2894230,"NEW YORK, NY",12224444.0
138,FIRST BUSEY CORPORATION                                                                                                 ,1203602,"CHAMPAIGN, IL",12209029.0
139,"BERKSHIRE HILLS BANCORP, INC                                                                                            ",2333663,"BOSTON, MA",12090340.0
140,FIRST BANCORP                                                                                                           ,1076431,"SOUTHERN PINES, NC",12034869.0
141,BANCFIRST CORPORATION                                                                                                   ,1133286,"OKLAHOMA CITY, OK",12020440.0
