PERMNO,date,RET,vwretd
47896,1991-11-11,-0.020000,0.001565
47896,1991-11-12,0.020408,0.008718
47896,1991-11-13,-0.005000,0.001393
47896,1991-11-14,0.000000,-0.000983
47896,1991-11-15,-0.040201,-0.034069
47896,1991-11-18,-0.010471,0.005141
47896,1991-11-19,-0.037037,-0.015426
47896,1991-11-20,0.010989,-0.001212
47896,1991-11-21,-0.016304,0.004238
47896,1991-11-22,-0.011050,-0.009163
47896,1991-11-25,-0.005587,-0.003025
47896,1991-11-26,-0.005618,0.004763
47896,1991-11-27,-0.022599,-0.001972
47896,1991-11-29,-0.023121,-0.001413
47896,1991-12-02,0.035503,0.013489
47896,1991-12-03,-0.011429,0.000811
47896,1991-12-04,-0.017341,-0.001293
47896,1991-12-05,-0.047059,-0.005039
47896,1991-12-06,-0.006173,0.003774
47896,1991-12-09,-0.012422,-0.002034
47896,1991-12-10,-0.025478,-0.001235
47896,1991-12-11,-0.019608,-0.002004
47896,1991-12-12,0.060000,0.008720
47896,1991-12-13,0.025157,0.007073
47896,1991-12-16,0.000000,0.001531
47896,1991-12-17,-0.042945,-0.004858
47896,1991-12-18,-0.006410,0.001109
47896,1991-12-19,0.006452,-0.003845
47896,1991-12-20,0.038462,0.009688
47896,1991-12-23,0.039479,0.022189
47896,1991-12-24,0.017857,0.008170
47896,1991-12-26,0.029240,0.013938
47896,1991-12-27,0.028409,0.006093
47896,1991-12-30,0.033149,0.020303
47896,1991-12-31,-0.090909,0.006064
47896,1992-01-02,0.100000,-0.000592
47896,1992-01-03,0.021390,0.005579
47896,1992-01-06,0.036649,0.000018
47896,1992-01-07,0.015152,0.000525
47896,1992-01-08,0.044776,0.003954
47896,1992-01-09,0.047619,0.002775
47896,1992-01-10,-0.018182,-0.005939
47896,1992-01-13,0.000000,-0.000875
47896,1992-01-14,0.050926,0.013024
47896,1992-01-15,0.061674,0.002916
47896,1992-01-16,-0.012448,-0.005337
47896,1992-01-17,-0.037815,0.001255
47896,1992-01-20,-0.021834,-0.005989
47896,1992-01-21,-0.004464,-0.011051
47896,1992-01-22,-0.008969,0.013444
47896,1992-01-23,0.004525,-0.004011
47896,1992-01-24,0.018018,0.001264
47896,1992-01-27,0.013274,-0.001468
47896,1992-01-28,0.004367,0.000131
47896,1992-01-29,-0.039130,-0.009785
47896,1992-01-30,0.022624,0.004172
47896,1992-01-31,-0.008850,-0.004810
47896,1992-02-03,0.008929,0.002604
47896,1992-02-04,0.026549,0.009858
47896,1992-02-05,0.021552,0.002355
47896,1992-02-06,0.029536,0.000532
47896,1992-02-07,0.008197,-0.005349
47896,1992-02-10,0.044715,0.004783
47896,1992-02-11,-0.015564,0.000312
47896,1992-02-12,0.031621,0.008709
47896,1992-02-13,-0.003831,-0.008016
47896,1992-02-14,-0.003846,-0.002059
47896,1992-02-18,-0.003861,-0.011551
47896,1992-02-19,-0.019380,0.000003
47896,1992-02-20,0.027668,0.012474
47896,1992-02-21,0.030769,-0.004983
47896,1992-02-24,0.011194,-0.000364
47896,1992-02-25,-0.025830,-0.004183
47896,1992-02-26,0.003788,0.011719
47896,1992-02-27,0.018868,-0.000865
47896,1992-02-28,-0.003704,-0.002338
47896,1992-03-02,-0.011152,0.000958
47896,1992-03-03,0.000000,0.000517
47896,1992-03-04,-0.018797,-0.007033
47896,1992-03-05,-0.034483,-0.008408
47896,1992-03-06,-0.011905,-0.005362
47896,1992-03-09,0.048193,0.001412
47896,1992-03-10,-0.007663,0.005301
47896,1992-03-11,-0.011583,-0.007128
47896,1992-03-12,-0.015625,-0.001260
47896,1992-03-13,0.019841,0.004298
47896,1992-03-16,0.003891,0.000298
47896,1992-03-17,0.034884,0.007302
47896,1992-03-18,0.007491,0.000023
47896,1992-03-19,0.029740,0.001774
47896,1992-03-20,0.021661,0.001752
47896,1992-03-23,-0.017668,-0.002658
47896,1992-03-24,-0.010791,-0.002592
47896,1992-03-25,0.000000,-0.001184
47896,1992-03-26,0.018182,-0.000975
47896,1992-03-27,-0.010714,-0.010421
47896,1992-03-30,-0.036101,-0.001860
47896,1992-03-31,-0.009738,0.001499
47896,1992-04-01,-0.003817,0.000199
47896,1992-04-02,-0.034483,-0.009487
47896,1992-04-03,-0.015873,0.000386
47896,1992-04-06,0.036290,0.009007
47896,1992-04-07,-0.046693,-0.017740
47896,1992-04-08,-0.036735,-0.010243
47896,1992-04-09,0.033898,0.015967
47896,1992-04-10,0.040984,0.007450
47896,1992-04-13,0.000000,0.004585
47896,1992-04-14,0.074803,0.013444
47896,1992-04-15,-0.003663,0.007901
47896,1992-04-16,0.007353,-0.002718
47896,1992-04-20,-0.010949,-0.014468
47896,1992-04-21,0.025830,-0.001111
47896,1992-04-22,0.035971,-0.000170
47896,1992-04-23,0.013889,0.002202
47896,1992-04-24,-0.020548,-0.004537
47896,1992-04-27,0.006993,-0.002185
47896,1992-04-28,-0.010417,-0.000772
47896,1992-04-29,-0.003509,0.007670
47896,1992-04-30,-0.010563,0.008763
47896,1992-05-01,0.017794,-0.004030
47896,1992-05-04,0.041958,0.009849
47896,1992-05-05,0.013423,0.001794
47896,1992-05-06,0.019868,0.000615
47896,1992-05-07,-0.012987,-0.001465
47896,1992-05-08,-0.016447,-0.000075
47896,1992-05-11,0.010033,0.005332
47896,1992-05-12,0.003311,-0.004536
47896,1992-05-13,0.019802,-0.000289
47896,1992-05-14,-0.016181,-0.007544
47896,1992-05-15,-0.013158,-0.005709
47896,1992-05-18,0.003333,0.005159
47896,1992-05-19,0.003322,0.006926
47896,1992-05-20,-0.003311,-0.000583
47896,1992-05-21,-0.009967,-0.005953
47896,1992-05-22,0.000000,0.002991
47896,1992-05-26,-0.033557,-0.006315
47896,1992-05-27,0.000000,0.001798
47896,1992-05-28,-0.003472,0.008447
47896,1992-05-29,0.017422,0.000279
47896,1992-06-01,0.013699,0.004485
47896,1992-06-02,0.010135,-0.005655
47896,1992-06-03,0.010033,0.001755
47896,1992-06-04,0.006623,-0.002888
47896,1992-06-05,-0.003289,-0.000669
47896,1992-06-08,0.003300,-0.001225
47896,1992-06-09,-0.003289,-0.008092
47896,1992-06-10,0.006601,-0.007020
47896,1992-06-11,-0.006557,0.002347
47896,1992-06-12,-0.009901,0.002516
47896,1992-06-15,-0.006667,-0.000189
47896,1992-06-16,-0.010067,-0.004509
47896,1992-06-17,-0.054237,-0.015123
47896,1992-06-18,0.014337,-0.004253
47896,1992-06-19,0.010601,0.006212
47896,1992-06-22,-0.010490,-0.002611
47896,1992-06-23,0.010601,0.002994
47896,1992-06-24,-0.003497,-0.001138
47896,1992-06-25,0.017544,-0.001575
47896,1992-06-26,0.024138,0.000723
47896,1992-06-29,0.001347,0.013168
47896,1992-06-30,0.006780,0.001630
47896,1992-07-01,0.020202,0.010085
47896,1992-07-02,0.026403,-0.002419
47896,1992-07-06,-0.025723,0.004066
47896,1992-07-07,-0.006601,-0.009928
47896,1992-07-08,-0.003322,0.001544
47896,1992-07-09,0.020000,0.009397
47896,1992-07-10,0.016340,0.002065
47896,1992-07-13,-0.028939,0.001621
47896,1992-07-14,0.003311,0.006365
47896,1992-07-15,-0.026403,-0.000692
47896,1992-07-16,-0.033898,0.000977
47896,1992-07-17,0.007018,-0.004957
